"ID","Name","Père","Couleur"
"1","Besoins","All_stop","#2A6967"
"11","Dormir","1","#2A6967"
"12","Manger","1","#2A6967"
"13","Toilette","1","#2A6967"
"14","Tâches ménagères","1","#2A6967"
"15","Sortir le chien","1","#2A6967"
"16","Soins pour le corps","1","#2A6967"
"17","Attendre","1","#2A6967"
"2","Travail professionnel","All_stop","#4234B9"
"3","Éducation","All_stop","#2678BF"
"4","Commerces","All_stop","#FCD94B"
"41","Courses","4","#FCD94B"
"42","Shopping","4","#FCD94B"
"43","Lèche-vitrines","4","#FCD94B"
"44","Achat rapide","4","#FCD94B"
"5","Santé et démarches publiques","All_stop","#DC3439"
"51","Soins médicaux","5","#DC3439"
"52","Administration","5","#DC3439"
"6","Social","All_stop","#E25090"
"61","Activité religieuse","6","#E25090"
"62","Rencontres","6","#E25090"
"621","Sociabilités familiales","62","#E25090"
"622","Sociabilités amicales","62","#E25090"
"623","Boire un verre","62","#E25090"
"624","Communication à distance","62","#E25090"
"625","Discuter","62","#E25090"
"63","S'occuper des autres","6","#E25090"
"631","S'occuper des enfants","63","#E25090"
"632","S'occuper d'autres personnes","63","#E25090"
"633","Activité associative","63","#E25090"
"7","Loisirs","All_stop","#F28F3D"
"71","Exercice physique","7","#F28F3D"
"711","Activité physique","71","#F28F3D"
"712","Jeu extérieur","71","#F28F3D"
"713","Activité plein air","71","#F28F3D"
"72","Art","7","#F28F3D"
"721","Musique","72","#F28F3D"
"722","Activité culturelle","72","#F28F3D"
"723","Activité manuelle","72","#F28F3D"
"724","Jeu intérieur","72","#F28F3D"
"73","Informatique","7","#F28F3D"
"731","Jeux vidéos","73","#F28F3D"
"732","Internet/informatique","73","#F28F3D"
"8","Medias","All_stop","#92912B"
"81","Lecture","8","#92912B"
"82","Ecoute musique/radio/chanter","8","#92912B"
"83","Télévision","8","#92912B"
"9","Transports","All_stop","#935220"
"91","Déposer quelqu'un","9","#935220"
"92","Changement de mode","9","#935220"
"93","Attendre les transports","9","#935220"
"94","Parking","9","#935220"
"All_stop","All","All_stop","#000000"
