Id_seq;Rank_act;Id_ind;Place;Act;Move;Acc;Duration
1;1;3;A1;11|12|631|13;;;1144
1;2;3;;;B221;C4;18
1;3;3;A1;11|12|13;;;278
2;1;3;A1;11|12|13;;;501
2;2;3;;;B31|B34;C4;41
2;3;3;A2;2;;;553
2;4;3;;;B221;C4;63
2;5;3;A1;11|12|13;;;282
3;1;3;A1;11|12|13;;;502
3;2;3;;;B31;C4;48
3;3;3;A2;2;;;487
3;4;3;;;B34;C4;11
3;5;3;;;;;19
3;6;3;;;B31;C4;17
3;7;3;A1;11|12|13;;;356
4;1;3;A1;11|12|13;;;502
4;2;3;;;B31;C4;42
4;3;3;A2;2;;;486
4;4;3;;;B34;C4;11
4;5;3;;;;;7
4;6;3;;;B31;C4;21
4;7;3;;;;;6
4;8;3;;;B11;C4;10
4;9;3;;41;;;51
4;10;3;;;B221|B222;C22|C12|C4;2
4;11;3;A5;16;;;18
4;12;3;;;B222;C22|C21;10
4;13;3;A1;11|12|13;;;274
5;1;3;A1;11|12|13;;;610
5;2;3;;;B221;C4;8
5;3;3;;41;;;41
5;4;3;;;B221;C4;4
5;5;3;A4;51;;;15
5;6;3;;;B221;C4;10
5;7;3;A4;41;;;6
5;8;3;;;B11;C4;1
5;9;3;A1;11|12|13;;;170
5;10;3;;;B221;C12;12
5;11;3;A4;41;;;17
5;12;3;;;B221;C12|C4;16
5;13;3;A7;631;;;36
5;14;3;;;B221;C4;1
5;15;3;;41;;;7
5;16;3;;;B221;C4;3
5;17;3;A4;42;;;59
5;18;3;;;B11;C4;1
5;19;3;A4;;;;5
5;20;3;;;B221;C4;3
5;21;3;A7;;;;73
5;22;3;;;B221;C12;16
5;23;3;A4;42;;;19
5;24;3;;;B221;C12;11
5;25;3;A1;11|12|13;;;296
6;1;3;A1;11|12|13;;;1440
7;1;3;A1;11|12|13;;;689
7;2;3;;;;;751
8;1;4;;;;;1031
8;2;4;A61;11|3|12|13;;;24
8;3;4;;;B222;C22;7
8;4;4;A7;711|622;;;95
8;5;4;;;B222;C22;5
8;6;4;A61;11|3|12|13;;;278
9;1;4;A61;11|3|12|13;;;530
9;2;4;;;B11;C11;9
9;3;4;A3;3|622;;;193
9;4;4;;;B11;C22;2
9;5;4;A4;41|621;;;16
9;6;4;;;B222;C22;7
9;7;4;A61;11|3|12|13;;;270
9;8;4;;;B222;C22;46
9;9;4;A5;51;;;20
9;10;4;;;B222;C22;96
9;11;4;A61;11|3|12|13;;;251
10;1;4;A61;11|3|12|13;;;499
10;2;4;;;B11;C11;12
10;3;4;A3;3|622;;;209
10;4;4;;;B11;C21|C11;4
10;5;4;A3;12|622;;;64
10;6;4;;;B11;C21|C11;3
10;7;4;A3;3|622;;;204
10;8;4;;;B11;C4;9
10;9;4;A61;11|3|12|13;;;436
11;1;4;A61;11|3|12|13;;;508
11;2;4;;;B11;C11;6
11;3;4;A3;3|622;;;199
11;4;4;;;B11;C21|C11;8
11;5;4;A3;12|622;;;66
11;6;4;;;B11;C21|C11;1
11;7;4;A3;3|622;;;92
11;8;4;;;B11;C11;1
11;9;4;A3;3|622;;;55
11;10;4;;;B11;C21|C11;2
11;11;4;A7;722|622;;;48
11;12;4;;;B11;C21|C11;1
11;13;4;A3;722|3;;;6
11;14;4;;;B11;C11;3
11;15;4;A7;722;;;17
11;16;4;;;B11;C4;11
11;17;4;A61;11|3|12|13;;;49
11;18;4;;;B222;C22;10
11;19;4;A4;41;;;52
11;20;4;;;B222;C22;2
11;21;4;A5;51;;;18
11;22;4;;;B222;C22;10
11;23;4;A61;11|3|12|13;;;275
12;1;4;A61;11|3|12|13;;;866
12;2;4;;;B222;C22;12
12;3;4;A4;42|622;;;18
12;4;4;;;B222;C22;17
12;5;4;A7;12|622;;;191
12;6;4;;;B222;C22;13
12;7;4;A4;42|621;;;20
12;8;4;;;B222;C22;11
12;9;4;A61;11|3|12|13;;;292
13;1;4;A61;11|3|12|13;;;1440
14;1;4;A61;11|3|12|13;;;506
14;2;4;;;B11;C11;11
14;3;4;A3;3|622;;;11
14;4;4;;;;;912
15;1;9;;;;;1087
15;2;9;A1;711|624|11|82|732|81|12|631|621|82|13|2;;;41
15;3;9;;;B221;C22|C4;4
15;4;9;A4;41;;;13
15;5;9;;;B11;C4;1
15;6;9;A1;711|624|11|82|732|81|12|631|621|82|13|2;;;294
16;1;9;A1;711|624|11|82|732|81|12|631|621|82|13|2;;;435
16;2;9;;;B221;C4;114
16;3;9;A2;2;;;23
16;4;9;;;B221;C4;7
16;5;9;A2;2;;;13
16;6;9;;;B221;C4;4
16;7;9;A2;2;;;13
16;8;9;;;B221;C4;11
16;9;9;A2;2;;;17
16;10;9;;;B221;C4;12
16;11;9;A2;2;;;6
16;12;9;;;B221;C4;26
16;13;9;A2;2;;;14
16;14;9;;;B221;C4;86
16;15;9;A1;711|624|11|82|732|81|12|631|621|82|13|2;;;91
16;16;9;;;B221;C22;34
16;17;9;;52;;;100
16;18;9;;;B221;C22;25
16;19;9;A4;42;;;115
16;20;9;;;B221;C22;12
16;21;9;A1;711|624|11|82|732|81|12|631|621|82|13|2;;;282
17;1;9;A1;711|624|11|82|732|81|12|631|621|82|13|2;;;449
17;2;9;;;B221;C4;61
17;3;9;A2;2;;;74
17;4;9;;;B221;C4;18
17;5;9;A2;2;;;10
17;6;9;;;B221;C4;10
17;7;9;A2;2;;;17
17;8;9;;;B221;C4;7
17;9;9;A2;2;;;36
17;10;9;;;B221;C4;28
17;11;9;A2;2;;;50
17;12;9;;;B221;C4;26
