"ID","Name","Père","Couleur"
"B1","Mobilité douce","All_move","#6FAF89"
"B11","Marche à pied","B1","#6FAF89"
"B12","Roller/skate/trottinette","B1","#6FAF89"
"B13","Vélo","B1","#6FAF89"
"B14","A cheval","B1","#6FAF89"
"B2","Transports Motorisés ","All_move","#EE3C48"
"B21","Deux roues","B2","#EE3C48"
"B211","Conducteur 2 roues motorisé léger","B21","#EE3C48"
"B212","Passager 2 roues motorisé léger","B21","#EE3C48"
"B213","Conducteur 2 roues motorisé","B21","#EE3C48"
"B214","Passager 2 roues motorisé","B21","#EE3C48"
"B22","Voiture","B2","#EE3C48"
"B221","Conducteur voiture","B22","#EE3C48"
"B222","Passager voiture","B22","#EE3C48"
"B223","Taxi","B22","#EE3C48"
"B3","Transports publiques","All_move","#FFDA62"
"B31","Bus/car","B3","#FFDA62"
"B32","Transport scolaire","B3","#FFDA62"
"B33","Tramway","B3","#FFDA62"
"B34","Métro","B3","#FFDA62"
"B35","Train","B3","#FFDA62"
"B4","Transports autres","All_move","#94989F"
"B41","Bateau","B4","#94989F"
"All_move","All","All_move","#000000"
