Id_ind;session_details;enq_id;enq_ville;enq_ecole;enq_classe;fam_id;pers_parente;pers_sexe;niveau_scolaire
3;session1;111;Orgères;Sacré Coeur;CM2;11101LE;Un parent;Femme;NULL
4;session1;112;Orgères;Sacré Coeur;CM2;11101LE;Un enfant;Femme;CM2
9;session1;113;Orgères;Sacré Coeur;CM2;11102PE;Un parent;Homme;NULL
7;session1;114;Orgères;Sacré Coeur;CM2;11102PE;Un enfant;Femme;CM2
14;session1;115;Orgères;Sacré Coeur;CM2;11104RI;Un parent;Femme;NULL
12;session1;116;Orgères;Sacré Coeur;CM2;11104RI;Un enfant;Femme;CM2
11;session1;117;Orgères;Sacré Coeur;CM2;11104RI;Un enfant;Femme;CM2
315;session1;118;Orgères;Sacré Coeur;CM2;11103RO;Un parent;Femme;NULL
316;session1;119;Orgères;Sacré Coeur;CM2;11103RO;Un enfant;Homme;CM2
16;session1;120;Orgères;Grain d'Orges;CM1;12101DA;Un parent;Homme;NULL
15;session1;121;Orgères;Grain d'Orges;CM1;12101DA;Un enfant;Homme;CM1
27;session1;124;Orgères;Grain d'Orges;CM1;12103DR;Un parent;Femme;NULL
25;session1;125;Orgères;Grain d'Orges;CM1;12103DR;Un enfant;Femme;CM1
30;session1;129;Orgères;Grain d'Orges;CM1;12105GU;Un parent;Femme;NULL
29;session1;130;Orgères;Grain d'Orges;CM1;12105GU;Un enfant;Femme;CM1
33;session1;131;Orgères;Grain d'Orges;CM1;12106HA;Un parent;Homme;NULL
32;session1;132;Orgères;Grain d'Orges;CM1;12106HA;Un enfant;Homme;CM1
35;session1;133;Orgères;Grain d'Orges;CM1;12107HO;Un parent;Femme;NULL
37;session1;134;Orgères;Grain d'Orges;CM1;12107HO;Un enfant;Femme;CM1
39;session1;135;Orgères;Grain d'Orges;CM1;12108JE;Un parent;Homme;NULL
40;session1;136;Orgères;Grain d'Orges;CM1;12108JE;Un enfant;Homme;CM1
45;session1;137;Orgères;Grain d'Orges;CM1;12109LA;Un parent;Femme;NULL
42;session1;138;Orgères;Grain d'Orges;CM1;12109LA;Un enfant;Femme;CM1
48;session1;139;Orgères;Grain d'Orges;CM1;12110LA;Un enfant;Femme;CM1
47;session1;140;Orgères;Grain d'Orges;CM1;12110LA;Un parent;Homme;NULL
53;session1;141;Orgères;Grain d'Orges;CM1;12111MO;Un parent;Homme;NULL
50;session1;142;Orgères;Grain d'Orges;CM1;12111MO;Un enfant;Homme;CM1
55;session1;143;Orgères;Grain d'Orges;CM1;12112NI;Un parent;Femme;NULL
58;session1;144;Orgères;Grain d'Orges;CM1;12112NI;Un enfant;Femme;CM1
60;session1;145;Orgères;Grain d'Orges;CM1;12113PI;Un parent;Femme;NULL
59;session1;146;Orgères;Grain d'Orges;CM1;12113PI;Un enfant;Homme;CM1
66;session1;149;Orgères;Grain d'Orges;CM1;12115TO;Un parent;Femme;NULL
64;session1;150;Orgères;Grain d'Orges;CM1;12115TO;Un enfant;Homme;CM1
69;session1;151;Orgères;Grain d'Orges;CM1;12116TR;Un parent;Femme;NULL
67;session1;152;Orgères;Grain d'Orges;CM1;12116TR;Un enfant;Homme;CM1
72;session1;153;Orgères;Grain d'Orges;CM1;12117YO;Un parent;Homme;NULL
73;session1;154;Orgères;Grain d'Orges;CM1;12117YO;Un enfant;Femme;CM1
77;session1;155;Orgères;Grain d'Orges;CM1;12118HA;Un parent;Homme;NULL
76;session1;156;Orgères;Grain d'Orges;CM1;12118HA;Un enfant;Femme;CM1
86;session1;159;Orgères;Grain d'Orges;CM2;12202BA;Un parent;Homme;NULL
84;session1;160;Orgères;Grain d'Orges;CM2;12202BA;Un enfant;Femme;CM2
91;session1;161;Orgères;Grain d'Orges;CM2;12203BO;Un enfant;Femme;CM2
88;session1;162;Orgères;Grain d'Orges;CM2;12203BO;Un parent;Femme;NULL
96;session1;165;Orgères;Grain d'Orges;CM2;12205DU;Un parent;Femme;NULL
98;session1;166;Orgères;Grain d'Orges;CM2;12205DU;Un enfant;Homme;CM2
99;session1;167;Orgères;Grain d'Orges;CM2;12206FA;Un parent;Femme;NULL
101;session1;168;Orgères;Grain d'Orges;CM2;12206FA;Un enfant;Homme;CM2
103;session1;169;Orgères;Grain d'Orges;CM2;12208LA;Un parent;Femme;NULL
102;session1;170;Orgères;Grain d'Orges;CM2;12208LA;Un enfant;Femme;CM2
109;session1;171;Orgères;Grain d'Orges;CM2;12209LE;Un parent;Homme;NULL
107;session1;172;Orgères;Grain d'Orges;CM2;12209LE;Un enfant;Homme;CM2
112;session1;175;Orgères;Grain d'Orges;CM2;12211PE;Un parent;Femme;NULL
113;session1;176;Orgères;Grain d'Orges;CM2;12211PE;Un enfant;Femme;CM2
116;session1;177;Orgères;Grain d'Orges;CM2;12212PI;Un parent;Homme;NULL
114;session1;178;Orgères;Grain d'Orges;CM2;12212PI;Un enfant;Femme;CM2
119;session1;179;Orgères;Grain d'Orges;CM2;12213PL;Un parent;Femme;NULL
118;session1;180;Orgères;Grain d'Orges;CM2;12213PL;Un enfant;Femme;CM2
123;session1;181;Orgères;Grain d'Orges;CM2;12214RO;Un parent;Femme;NULL
125;session1;182;Orgères;Grain d'Orges;CM2;12214RO;Un enfant;Homme;CM2
128;session1;183;Orgères;Grain d'Orges;CM2;12215SI;Un parent;Femme;NULL
126;session1;184;Orgères;Grain d'Orges;CM2;12215SI;Un enfant;Femme;CM2
